TotalSteps,TotalDistance,Calories,SCORE
10319,6.820000172,2105,0
3428,2.269999981,1692,0
7891,5.21999979,2066,0
5267,3.480000019,1953,0
5232,3.460000038,1842,0
10611,7.010000229,2262,0
3755,2.480000019,1722,0
8237,5.440000057,1973,0
6543,4.329999924,2666,0
11451,7.570000172,2223,0
6435,4.25,1889,0
9108,6.019999981,2131,0
6307,4.170000076,1452,0
7213,5.880000114,2947,0
6877,5.579999924,2898,0
7860,6.369999886,2984,0
6506,5.28000021,2896,0
11140,9.029999733,3328,0
12692,10.28999996,3394,0
9105,7.380000114,3013,0
6708,5.440000057,2812,0
8793,7.130000114,3061,0
6530,5.300000191,2729,0
1664,1.350000024,2241,0
15126,12.27000046,3691,0
15050,12.22000027,3538,0
9167,7.429999828,3064,0
6108,4.949999809,2784,0
7047,5.71999979,2908,0
9023,7.320000172,3033,0
9930,8.050000191,3165,0
10144,8.229999542,3115,0
0,0,2017,0
7245,5.920000076,2859,0
9454,7.670000076,3145,0
8161,6.619999886,3004,0
8614,6.989999771,3006,0
6943,5.630000114,2859,0
14370,11.64999962,3683,0
12857,10.43000031,3287,0
8232,6.679999828,2990,0
10613,8.609999657,3172,0
9810,7.960000038,3069,0
2752,2.230000019,1240,0
11596,7.570000172,2026,0
4832,3.160000086,1718,0
17022,11.11999989,2324,0
16556,10.85999966,2254,0
5771,3.769999981,1831,0
655,0.430000007,1397,0
3727,2.430000067,1683,0
15482,10.10999966,2284,0
2713,1.769999981,1570,0
12346,8.06000042,2066,0
11682,7.630000114,2105,0
4112,2.690000057,1776,0
1807,1.179999948,1507,0
10946,7.190000057,2033,0
11886,7.760000229,2093,0
10538,6.880000114,1922,0
11393,7.630000114,1999,0
12764,8.329999924,2169,0
1202,0.779999971,1463,0
5164,3.369999886,1747,0
9769,6.380000114,1996,0
12848,8.390000343,2116,0
4249,2.769999981,1698,0
14331,9.510000229,2156,0
9632,6.289999962,1916,0
1868,1.220000029,1494,0
6083,4,1762,0
11611,7.579999924,2272,0
16358,10.71000004,2335,0
4926,3.220000029,1693,0
3121,2.039999962,741,0
8135,6.079999924,3405,0
5077,3.789999962,2551,0
8596,6.420000076,4022,0
12087,9.079999924,4005,0
14269,10.65999985,4274,0
12231,9.140000343,4552,0
9893,7.389999866,3625,0
12574,9.420000076,3501,0
8330,6.21999979,3192,0
10830,8.090000153,4018,0
9172,6.849999905,3329,0
7638,5.710000038,3152,0
15764,11.77999973,4392,0
